ticker,raw_bars,dedup_removed,ohlc_invalid,zero_price,low_volume,return_outliers,range_outliers,gaps_flagged,vol_spikes,stale_flagged,final_bars,date_start,date_end,pct_retained
AAPL,31743,0,0,0,0,0,0,0,5492,39,31743,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00,100.0
AMAT,23533,0,0,0,0,1,1,0,4872,87,23531,2024-03-22 05:30:00-04:00,2026-03-20 19:45:00-04:00,99.99
AMD,31795,0,0,0,0,2,6,0,5186,22,31787,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00,99.97
AMZN,31734,0,0,0,0,0,3,0,5430,42,31731,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00,99.99
AVGO,29760,0,0,0,0,0,3,0,4972,37,29757,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00,99.99
BAC,27557,0,0,0,0,0,1,0,6053,285,27556,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00,100.0
BIIB,15456,0,0,0,0,0,1,0,406,104,15455,2024-03-22 09:30:00-04:00,2026-03-20 16:00:00-04:00,99.99
C,24080,0,0,0,0,0,1,0,5165,163,24079,2024-03-22 04:15:00-04:00,2026-03-20 19:45:00-04:00,100.0
CAT,18522,0,0,0,0,0,0,0,1845,104,18522,2024-03-22 07:15:00-04:00,2026-03-20 19:30:00-04:00,100.0
CRM,23472,0,0,0,0,1,5,0,4705,86,23466,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00,99.97
CRWD,24718,0,0,0,0,1,6,0,4918,77,24711,2024-03-22 07:15:00-04:00,2026-03-20 19:45:00-04:00,99.97
CVX,23472,0,0,0,0,0,0,0,5011,106,23472,2024-03-22 07:00:00-04:00,2026-03-20 19:45:00-04:00,100.0
DE,15610,0,0,0,0,0,0,0,399,59,15610,2024-03-22 09:15:00-04:00,2026-03-20 18:15:00-04:00,100.0
GE,21202,0,0,0,0,0,1,0,4012,94,21201,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00,100.0
GS,18977,0,0,0,0,0,1,0,2348,114,18976,2024-03-22 04:30:00-04:00,2026-03-20 19:45:00-04:00,99.99
HAL,22442,0,0,0,0,0,1,0,4646,219,22441,2024-03-22 07:00:00-04:00,2026-03-20 19:45:00-04:00,100.0
HD,18946,0,0,0,0,0,0,0,2163,105,18946,2024-03-22 07:15:00-04:00,2026-03-20 19:45:00-04:00,100.0
