ticker,raw_bars,dedup_removed,ohlc_invalid,zero_price,low_volume,return_outliers,range_outliers,gaps_flagged,vol_spikes,stale_flagged,final_bars,date_start,date_end,pct_retained
AAPL,1264,0,0,0,0,0,0,0,225,1,1264,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
AMAT,1022,0,0,0,0,0,0,0,218,0,1022,2026-02-26 04:00:00-05:00,2026-03-25 19:15:00-04:00,100.0
AMD,1278,0,0,0,0,0,0,0,206,0,1278,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
AMZN,1279,0,0,0,0,0,0,0,222,0,1279,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
AVGO,1280,0,0,0,0,0,0,0,210,0,1280,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
BAC,1164,0,0,0,0,0,0,0,240,5,1164,2026-02-26 04:00:00-05:00,2026-03-25 19:30:00-04:00,100.0
BIIB,577,0,0,0,0,0,0,0,13,0,577,2026-02-26 08:00:00-05:00,2026-03-25 16:00:00-04:00,100.0
C,983,0,0,0,0,0,0,0,215,1,983,2026-02-26 05:15:00-05:00,2026-03-25 19:15:00-04:00,100.0
CAT,968,0,0,0,0,0,0,0,219,0,968,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
CRM,1140,0,0,0,0,0,0,0,226,3,1140,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
CRWD,1159,0,0,0,0,0,1,0,219,2,1158,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,99.91
CVX,1195,0,0,0,0,0,0,0,226,2,1195,2026-02-26 04:30:00-05:00,2026-03-25 19:45:00-04:00,100.0
DE,695,0,0,0,0,0,0,0,53,1,695,2026-02-26 05:45:00-05:00,2026-03-25 16:30:00-04:00,100.0
GE,1001,0,0,0,0,0,0,0,222,0,1001,2026-02-26 04:00:00-05:00,2026-03-25 19:30:00-04:00,100.0
GS,1006,0,0,0,0,0,0,0,208,1,1006,2026-02-26 05:15:00-05:00,2026-03-25 19:15:00-04:00,100.0
HAL,1051,0,0,0,0,0,0,0,231,10,1051,2026-02-26 05:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
HD,900,0,0,0,0,0,0,0,204,1,900,2026-02-26 04:30:00-05:00,2026-03-25 19:30:00-04:00,100.0
JPM,1163,0,0,0,0,0,0,0,242,1,1163,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
LLY,1006,0,0,0,0,0,0,0,214,1,1006,2026-02-26 04:45:00-05:00,2026-03-25 19:45:00-04:00,100.0
LMT,986,0,0,0,0,0,0,0,212,1,986,2026-02-26 04:00:00-05:00,2026-03-25 19:00:00-04:00,100.0
LRCX,1107,0,0,0,0,0,0,0,227,3,1107,2026-02-26 04:15:00-05:00,2026-03-25 19:45:00-04:00,100.0
MCD,841,0,0,0,0,0,0,0,173,3,841,2026-02-26 05:30:00-05:00,2026-03-25 19:00:00-04:00,100.0
META,1275,0,0,0,0,0,0,0,203,1,1275,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
MRNA,1110,0,0,0,0,1,0,0,212,8,1109,2026-02-26 04:00:00-05:00,2026-03-25 19:30:00-04:00,99.91
MS,833,0,0,0,0,0,0,0,166,2,833,2026-02-26 05:00:00-05:00,2026-03-25 17:15:00-04:00,100.0
MSFT,1280,0,0,0,0,0,0,0,209,0,1280,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
MSTR,1280,0,0,0,0,0,0,0,182,1,1280,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
MU,1280,0,0,0,0,0,0,0,158,0,1280,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
NET,863,0,0,0,0,0,0,0,177,1,863,2026-02-26 04:30:00-05:00,2026-03-25 19:30:00-04:00,100.0
NKE,1223,0,0,0,0,0,0,0,219,1,1223,2026-02-26 04:15:00-05:00,2026-03-25 19:45:00-04:00,100.0
NOW,1267,0,0,0,0,0,0,0,225,1,1267,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00,100.0
