,days_present,days_expected,coverage_pct,first_date,last_date
BIIB,577,1280,45.08,2026-02-26 08:00:00-05:00,2026-03-25 16:00:00-04:00
REGN,599,1280,46.8,2026-02-26 09:30:00-05:00,2026-03-25 16:00:00-04:00
VRTX,668,1280,52.19,2026-02-26 07:30:00-05:00,2026-03-25 17:00:00-04:00
DE,695,1280,54.3,2026-02-26 05:45:00-05:00,2026-03-25 16:30:00-04:00
MS,833,1280,65.08,2026-02-26 05:00:00-05:00,2026-03-25 17:15:00-04:00
MCD,841,1280,65.7,2026-02-26 05:30:00-05:00,2026-03-25 19:00:00-04:00
NET,863,1280,67.42,2026-02-26 04:30:00-05:00,2026-03-25 19:30:00-04:00
SBUX,880,1280,68.75,2026-02-26 04:45:00-05:00,2026-03-25 19:15:00-04:00
HD,900,1280,70.31,2026-02-26 04:30:00-05:00,2026-03-25 19:30:00-04:00
SNOW,967,1280,75.55,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
CAT,968,1280,75.62,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
RTX,970,1280,75.78,2026-02-26 07:30:00-05:00,2026-03-25 19:00:00-04:00
C,983,1280,76.8,2026-02-26 05:15:00-05:00,2026-03-25 19:15:00-04:00
LMT,986,1280,77.03,2026-02-26 04:00:00-05:00,2026-03-25 19:00:00-04:00
GE,1001,1280,78.2,2026-02-26 04:00:00-05:00,2026-03-25 19:30:00-04:00
GS,1006,1280,78.59,2026-02-26 05:15:00-05:00,2026-03-25 19:15:00-04:00
LLY,1006,1280,78.59,2026-02-26 04:45:00-05:00,2026-03-25 19:45:00-04:00
AMAT,1022,1280,79.84,2026-02-26 04:00:00-05:00,2026-03-25 19:15:00-04:00
QCOM,1046,1280,81.72,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
SLB,1046,1280,81.72,2026-02-26 05:15:00-05:00,2026-03-25 18:45:00-04:00
HAL,1051,1280,82.11,2026-02-26 05:00:00-05:00,2026-03-25 19:45:00-04:00
LRCX,1107,1280,86.48,2026-02-26 04:15:00-05:00,2026-03-25 19:45:00-04:00
MRNA,1109,1280,86.64,2026-02-26 04:00:00-05:00,2026-03-25 19:30:00-04:00
CRM,1140,1280,89.06,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
CRWD,1158,1280,90.47,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
JPM,1163,1280,90.86,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
BAC,1164,1280,90.94,2026-02-26 04:00:00-05:00,2026-03-25 19:30:00-04:00
CVX,1195,1280,93.36,2026-02-26 04:30:00-05:00,2026-03-25 19:45:00-04:00
NKE,1223,1280,95.55,2026-02-26 04:15:00-05:00,2026-03-25 19:45:00-04:00
XOM,1243,1280,97.11,2026-02-26 04:00:00-05:00,2026-03-25 19:30:00-04:00
AAPL,1264,1280,98.75,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
NOW,1267,1280,98.98,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
OXY,1270,1280,99.22,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
SMCI,1275,1280,99.61,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
META,1275,1280,99.61,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
PLTR,1278,1280,99.84,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
AMD,1278,1280,99.84,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
AMZN,1279,1280,99.92,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
MSFT,1280,1280,100.0,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
TSLA,1280,1280,100.0,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
AVGO,1280,1280,100.0,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
NVDA,1280,1280,100.0,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
MU,1280,1280,100.0,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
MSTR,1280,1280,100.0,2026-02-26 04:00:00-05:00,2026-03-25 19:45:00-04:00
