lead,IC_mean,IC_std,ICIR,t_stat,n_bars
1,0.09618,0.25009,0.385,68.639,31857
2,0.01127,0.24585,0.046,8.178,31851
3,0.00592,0.24497,0.024,4.312,31851
4,0.00174,0.24369,0.007,1.278,31851
5,0.0055,0.24374,0.023,4.024,31849
6,0.00052,0.24352,0.002,0.379,31852
7,0.00339,0.24346,0.014,2.487,31849
8,-0.00012,0.24447,-0.0,-0.085,31849
9,-0.0,0.24164,-0.0,-0.0,31847
10,0.00286,0.24221,0.012,2.104,31847
11,-0.00061,0.24368,-0.003,-0.45,31846
12,-0.00196,0.24451,-0.008,-1.429,31844
13,-0.00028,0.24494,-0.001,-0.208,31843
14,-0.00149,0.24455,-0.006,-1.088,31843
15,-0.00065,0.24307,-0.003,-0.479,31842
