lead,IC_mean,IC_std,ICIR,t_stat,n_bars
1,0.07693,0.24329,0.316,10.425,1087
2,0.01351,0.24624,0.055,1.807,1086
3,0.00349,0.24349,0.014,0.472,1085
4,-0.00028,0.23547,-0.001,-0.039,1084
5,-0.00425,0.23133,-0.018,-0.604,1083
6,-0.00469,0.23448,-0.02,-0.658,1082
7,-0.00667,0.23543,-0.028,-0.932,1081
8,-0.00391,0.23339,-0.017,-0.55,1080
9,-0.00423,0.23997,-0.018,-0.579,1079
10,-0.00057,0.23131,-0.002,-0.08,1078
11,-0.00798,0.23334,-0.034,-1.123,1077
12,0.00085,0.23022,0.004,0.121,1076
13,-0.00064,0.23381,-0.003,-0.089,1075
14,-0.00067,0.23119,-0.003,-0.095,1074
15,-0.00588,0.23479,-0.025,-0.821,1073
